x,y,cluster
0.0526454,0.226862,1
0.270531,0.504438,1
0.596938,0.525257,1
0.741354,0.0171037,1
0.946592,0.46914,1
0.667628,0.344488,1
0.360167,0.882045,1
0.725183,0.555603,1
0.0278675,0.273393,1
0.71991,0.904143,1
0.56818,0.177865,1
0.120398,0.724509,1
0.249303,0.684938,1
0.768462,0.602955,1
0.90316,0.172392,1
0.130179,0.798919,1
0.184593,0.712959,1
0.95565,0.831615,1
0.47558,0.983953,1
0.970375,0.24368,1
0.192503,0.528241,1
0.0870481,0.451748,1
0.0623505,0.258685,1
0.559342,0.411133,1
0.762486,0.178085,1
0.85887,0.946981,1
0.544685,0.410268,1
0.434858,0.957541,1
0.882824,0.513728,1
0.0410042,0.907769,1
0.822888,0.761909,1
0.693302,0.098132,1
0.620368,0.948866,1
0.449756,0.319773,1
0.553523,0.279385,1
0.546078,0.362723,1
0.399762,0.568551,1
0.050165,0.705127,1
0.729123,0.022075,1
0.541553,0.827066,1
0.660094,0.440925,1
0.256589,0.521445,1
0.408759,0.966953,1
0.992388,0.848053,1
0.356856,0.523164,1
0.395211,0.0778037,1
0.982226,0.352706,1
0.232546,0.623191,1
0.676538,0.775509,1
0.639649,0.142741,1
0.144258,0.0773629,1
0.350082,0.31415,1
0.796993,0.0916028,1
0.32436,0.942577,1
0.704508,0.392726,1
0.111017,0.594559,1
0.174876,0.320439,1
0.51491,0.483772,1
0.7761,0.365611,1
0.12351,0.138102,1
0.070964,0.99097,1
0.675992,0.390683,1
0.103186,0.378476,1
0.229336,0.831826,1
0.597981,0.867041,1
0.31147,0.739581,1
0.603497,0.151659,1
0.477358,0.940526,1
0.361307,0.33129,1
0.969719,0.933226,1
0.539788,0.287595,1
0.859495,0.633235,1
0.562215,0.377533,1
0.736189,0.281882,1
0.276351,0.44826,1
0.0993192,0.169805,1
0.388282,0.862554,1
0.291137,0.357793,1
0.411734,0.885175,1
0.617846,0.513174,1
0.292811,0.323307,1
0.845426,0.302985,1
0.0407334,0.480381,1
0.293844,0.00113619,1
0.0924095,0.265507,1
0.103042,0.692516,1
0.627438,0.8267,1
0.429153,0.226243,1
0.68046,0.608685,1
0.291005,0.60887,1
0.178545,0.0647653,1
0.738496,0.74663,1
0.920247,0.73269,1
0.383509,0.646366,1
0.599665,0.610352,1
0.59556,0.995335,1
0.779689,0.0627216,1
0.00728316,0.369181,1
0.863735,0.8496,1
0.841273,0.813758,1
0.934599,0.292584,1
0.164561,0.0230714,1
0.310078,0.53645,1
0.519761,0.539645,1
0.933203,0.622114,1
0.80547,0.770874,1
0.229504,0.00994032,1
0.177295,0.876042,1
0.0231839,0.79789,1
0.581567,0.394114,1
0.0610338,0.662043,1
0.355362,0.161896,1
0.844955,0.600394,1
0.305885,0.764132,1
0.228695,0.33792,1
0.383161,0.235604,1
0.590494,0.155856,1
0.135688,0.434654,1
0.888648,0.378822,1
0.829707,0.361887,1
0.23875,0.308648,1
0.528684,0.443441,1
0.223759,0.180175,1
0.122023,0.553673,1
0.0666265,0.988469,1
0.915374,0.252222,1
0.161541,0.119695,1
0.234649,0.119116,1
0.753062,0.203349,1
0.32087,0.193156,1
0.584027,0.764335,1
0.374698,0.47651,1
0.260239,0.264904,1
0.376353,0.265328,1
0.195114,0.360386,1
0.326946,0.689518,1
0.802889,0.596201,1
0.78324,0.353526,1
0.709643,0.431144,1
0.579242,0.724835,1
0.111375,0.380892,1
0.229598,0.238644,1
0.800231,0.64822,1
0.60459,0.735426,1
0.0380917,0.336799,1
0.722211,0.0795642,1
0.120557,0.976395,1
0.771059,0.569972,1
0.76587,0.0680297,1
0.61048,0.740232,1
0.616651,0.0776456,1
0.566453,0.307959,1
0.663136,0.412802,1
0.878523,0.568804,1
0.0306942,0.311344,1
0.980745,0.420638,1
0.270623,0.759052,1
0.160013,0.0895502,1
0.664102,0.449486,1
0.578285,0.320303,1
0.229516,0.211456,1
0.793177,0.580958,1
0.864558,0.263207,1
0.111472,0.106153,1
0.49638,0.00907785,1
0.38645,0.673506,1
0.886897,0.195522,1
0.582887,0.771463,1
0.614633,0.910552,1
0.518485,0.289267,1
0.52785,0.812185,1
0.00949652,0.457161,1
0.172352,0.694358,1
0.804051,0.958702,1
0.774812,0.0426967,1
0.55729,0.207499,1
0.262016,0.19429,1
0.607495,0.663847,1
0.352646,0.728717,1
0.00464187,0.250235,1
0.946601,0.151919,1
0.974397,0.50983,1
0.0144309,0.0673316,1
0.530609,0.805378,1
0.160059,0.0219039,1
0.403353,0.600415,1
0.340202,0.144777,1
0.0141712,0.3805,1
0.950932,0.402031,1
0.786429,0.190927,1
0.277616,0.237595,1
0.905268,0.559586,1
0.062411,0.59052,1
0.445189,0.654604,1
0.476038,0.663911,1
0.996574,0.593553,1
0.223022,0.472107,1
0.393224,0.583003,1
0.586238,0.730129,1
0.92322,0.3929,1
0.711827,0.725588,1
0.00901591,0.274703,1
0.332698,0.894412,1
0.732942,0.760947,1
0.188397,0.618714,1
0.121479,0.912276,1
0.843329,0.508208,1
0.49892,0.221634,1
0.730872,0.816015,1
0.471525,0.440663,1
0.213616,0.205125,1
0.780191,0.485314,1
0.135777,0.618889,1
0.439243,0.69797,1
0.936223,0.746272,1
0.511245,0.599611,1
0.160508,0.844735,1
0.896141,0.597575,1
0.9615,0.354913,1
0.449556,0.454211,1
0.280173,0.0715988,1
0.358987,0.328066,1
0.703179,0.28173,1
0.869952,0.0356416,1
0.829824,0.320667,1
0.440349,0.508301,1
0.0815503,0.668667,1
0.322754,0.919627,1
0.0399826,0.78286,1
0.848669,0.115912,1
0.458258,0.617071,1
0.129604,0.100008,1
0.395382,0.755738,1
0.422419,0.522989,1
0.848396,0.146913,1
0.94936,0.81072,1
0.895096,0.650116,1
0.915432,0.631504,1
0.376568,0.527941,1
0.68205,0.873642,1
0.825789,0.513486,1
0.198892,0.172477,1
0.189292,0.134533,1
0.85186,0.0589267,1
0.517534,0.560088,1
0.469541,0.817711,1
0.75018,0.563589,1
0.478476,0.228067,1
0.932489,0.0079339,1
0.0755716,0.545134,1
0.0017336,0.61339,1
0.655186,0.42781,1
0.130703,0.132796,1
0.611145,0.668536,1
0.871553,0.71831,1
0.0203285,0.0484044,1
0.561833,0.188833,1
0.193481,0.770252,1
0.0522828,0.0189241,1
0.107239,0.775381,1
0.53882,0.282502,1
0.854577,0.345113,1
0.168812,0.728632,1
0.868677,0.474593,1
0.849441,0.285421,1
0.0156554,0.827287,1
0.981062,0.418533,1
0.00208308,0.13224,1
0.381463,0.483574,1
0.000398405,0.172339,1
0.775102,0.0230922,1
0.117591,0.552858,1
0.585006,0.0255139,1
0.306228,0.868875,1
0.909052,0.108655,1
0.284826,0.785227,1
0.547565,0.89354,1
0.862117,0.0213571,1
0.826782,0.793296,1
0.969816,0.688356,1
0.754519,0.623112,1
0.990564,0.824839,1
0.221054,0.801804,1
0.0396461,0.384845,1
0.0489073,0.565878,1
0.342055,0.0152532,1
0.437683,0.841605,1
0.299221,0.61875,1
0.875607,0.570171,1
0.313098,0.0166393,1
0.150344,0.988222,1
0.811186,0.860998,1
0.821167,0.894464,1
0.564994,0.535345,1
0.726356,0.730539,1
0.908106,0.505612,1
0.290273,0.736175,1
0.870047,0.0665449,1
0.329308,0.183777,1
0.826892,0.929383,1
0.110633,0.256226,1
0.801766,0.420622,1
0.589764,0.403626,1
0.161401,0.192423,1
0.548926,0.62423,1
0.338473,0.321727,1
0.281684,0.545313,1
0.714113,0.367272,1
0.455336,0.0213166,1
0.144944,0.799329,1
0.202074,0.860131,1
0.453527,0.90681,1
0.358684,0.451735,1
0.865246,0.205064,1
0.900148,0.576529,1
0.560179,0.792575,1
0.888284,0.11657,1
0.538341,0.0456153,1
0.90707,0.139512,1
0.59315,0.719127,1
0.042195,0.100191,1
0.904221,0.825725,1
0.826419,0.471492,1
0.77225,0.460404,1
0.2346,0.0558909,1
0.664462,0.833445,1
0.338083,0.664509,1
0.768143,0.602299,1
0.556399,0.100589,1
0.674446,0.528218,1
0.497866,0.139477,1
0.508759,0.132188,1
0.777466,0.170646,1
0.323118,0.627859,1
0.550022,0.664104,1
0.0786144,0.703855,1
0.343759,0.926119,1
0.620647,0.403015,1
0.510408,0.328709,1
0.138794,0.178789,1
0.242221,0.0954795,1
0.70221,0.385818,1
0.892334,0.48963,1
0.986549,0.0125939,1
0.902745,0.756702,1
0.131075,0.744686,1
0.868838,0.722205,1
0.223621,0.945668,1
0.984524,0.471054,1
0.951874,0.304829,1
0.89015,0.662452,1
0.227893,0.591695,1
0.29152,0.658992,1
0.491443,0.217141,1
0.838932,0.810577,1
0.196725,0.363969,1
0.0362979,0.310667,1
0.386348,0.156573,1
0.422397,0.830424,1
0.194109,0.368382,1
0.808468,0.898808,1
0.188013,0.263037,1
0.588921,0.749609,1
0.786788,0.756268,1
0.568169,0.391982,1
0.265279,0.492955,1
0.99298,0.789479,1
0.589233,0.348379,1
0.0820669,0.0368141,1
0.77512,0.00069372,1
0.156025,0.0167195,1
0.804807,0.089638,1
0.543346,0.304214,1
0.901571,0.605352,1
0.0227426,0.464029,1
0.194022,0.895594,1
0.604088,0.625905,1
0.792672,0.0467861,1
0.711398,0.98002,1
0.249045,0.851226,1
0.0863949,0.098205,1
0.204797,0.500173,1
0.238477,0.361481,1
0.433331,0.916451,1
0.559102,0.525309,1
0.504285,0.613701,1
0.478609,0.668585,1
0.19549,0.601149,1
0.335485,0.305865,1
0.937931,0.846179,1
0.650942,0.629999,1
0.281788,0.0870422,1
0.862658,0.858639,1
0.745129,0.674191,1
0.74986,0.888234,1
0.859245,0.774633,1
0.754754,0.61835,1
0.194664,0.652069,1
0.95398,0.827239,1
0.470717,0.767469,1
0.185119,0.424162,1
0.64635,0.969258,1
0.978564,0.0430709,1
0.0469952,0.612786,1
0.976146,0.505501,1
0.254964,0.251882,1
0.466274,0.807066,1
0.498306,0.892587,1
0.18417,0.774528,1
0.933379,0.327907,1
0.385376,0.279502,1
0.590015,0.119716,1
0.571625,0.808785,1
0.6148,0.402441,1
0.0135939,0.441725,1
0.159278,0.556122,1
0.0958626,0.647685,1
0.345654,0.375101,1
0.665704,0.172854,1
0.793733,0.174632,1
0.955118,0.222795,1
0.242492,0.424459,1
0.44551,0.4103,1
0.383483,0.324594,1
0.733197,0.915597,1
0.430333,0.734409,1
0.451227,0.380002,1
0.793291,0.106003,1
0.56713,0.655025,1
0.278841,0.964258,1
0.113947,0.294878,1
0.54164,0.742394,1
0.47081,0.318301,1
0.83676,0.492123,1
0.427071,0.817633,1
0.849118,0.193822,1
0.807301,0.444484,1
0.586418,0.139666,1
0.584903,0.257616,1
0.308681,0.603799,1
0.268014,0.722117,1
0.435297,0.0753468,1
0.749242,0.625323,1
0.115972,0.291373,1
0.797983,0.06942,1
0.880796,0.303419,1
0.0877898,0.359469,1
0.58651,0.244325,1
0.433192,0.3671,1
0.18644,0.0235414,1
0.109027,0.517836,1
0.76211,0.0974229,1
0.899268,0.492916,1
0.199459,0.305704,1
0.552418,0.743574,1
0.445093,0.820623,1
0.932943,0.625602,1
0.729728,0.0237138,1
0.721125,0.225478,1
0.443631,0.475759,1
0.825949,0.990103,1
0.803622,0.772869,1
0.276479,0.808866,1
0.892539,0.216717,1
0.99287,0.943683,1
0.373259,0.701599,1
0.14819,0.299229,1
0.213054,0.0187739,1
0.876929,0.184531,1
0.186111,0.228828,1
0.944062,0.966318,1
0.990998,0.795202,1
0.516771,0.956908,1
