x,y,cluster
0.438595,0.215316,1
-0.422453,-0.30544,1
-1.01248,0.0475593,1
0.976358,0.0380486,1
-1.01618,-0.27786,1
0.742432,0.609655,1
0.614754,-0.761691,1
0.480058,0.20049,1
-0.446933,-0.238006,1
0.297812,-0.258558,1
-0.367909,0.385857,1
0.0106139,0.500305,1
-0.313174,-0.981346,1
-0.254757,-0.918172,1
-0.500987,0.291129,1
0.386904,0.288878,1
-0.124424,-1.01247,1
-0.301612,0.409007,1
0.645056,0.815852,1
0.472323,0.0934802,1
0.29788,0.902369,1
0.405847,-0.313344,1
-0.450929,0.184979,1
0.532002,-0.841874,1
0.177364,0.37477,1
-0.715026,-0.66172,1
0.206198,0.502679,1
-0.790307,-0.545984,1
-0.927699,0.0294553,1
0.54065,0.251021,1
0.0726323,1.0066,1
-0.225048,0.478265,1
0.340901,-0.309655,1
0.173932,0.416674,1
0.48767,0.893538,1
-0.717486,0.53934,1
0.00974109,-0.554515,1
0.336033,-0.329691,1
-1.02895,-0.0486291,1
-0.496418,-0.896434,1
-0.435567,0.20408,1
-0.769223,0.679243,1
-0.526086,-0.000780876,1
0.52272,-0.873721,1
0.42571,-0.895687,1
-0.317971,0.337799,1
0.852375,-0.386105,1
0.70592,0.764065,1
0.961742,-0.0502203,1
0.872972,-0.670059,1
-0.207037,0.470413,1
0.589213,0.902423,1
-0.418386,0.168379,1
-0.364837,-1.00681,1
0.437377,-0.289235,1
-0.283993,0.395842,1
0.528874,-0.0785563,1
-0.0971857,-0.942322,1
0.270033,-0.44848,1
0.965857,0.231656,1
-0.34502,-0.878209,1
0.684185,0.738593,1
0.0451544,0.36325,1
-0.158677,0.940538,1
-0.243906,0.461253,1
0.680237,-0.801092,1
-0.566263,0.871983,1
0.345433,-0.341997,1
-0.259979,-0.392203,1
0.332737,0.436366,1
-0.0899601,-0.460458,1
0.600753,0.161727,1
-0.86256,-0.505377,1
0.410516,-0.189589,1
-0.517244,-0.168258,1
-0.278186,-0.950063,1
0.484444,0.27271,1
0.0259678,-1.01858,1
0.433905,0.0941115,1
0.357652,-0.278044,1
-0.453891,-0.0571589,1
0.894469,-0.400942,1
0.898892,0.425963,1
-0.923977,0.0389024,1
0.517013,-0.0205178,1
-0.164089,-1.03019,1
-0.38558,-0.279638,1
-0.885203,-0.356023,1
-0.492045,0.0826132,1
-1.07183,-0.0460007,1
-0.968245,0.25243,1
-0.375632,-0.32438,1
-1.01923,0.321284,1
0.633736,0.863996,1
-0.58549,0.831339,1
-0.37425,0.350385,1
-0.0529557,0.507049,1
-0.988735,0.0307548,1
-0.462031,-0.187498,1
0.997948,0.386764,1
-1.06444,-0.0607382,1
0.338304,-0.341657,1
0.117439,-1.00724,1
0.288465,-0.424423,1
0.578525,0.765067,1
-0.0264439,-0.524659,1
0.477693,-0.254282,1
0.74868,0.655724,1
-0.504738,-0.213942,1
-0.0398526,-0.99139,1
-0.0013085,0.520556,1
0.0641575,1.04752,1
-0.438088,-0.921088,1
-0.0292387,0.421266,1
0.0223303,1.01948,1
0.531718,0.0951569,1
-0.956462,-0.295889,1
0.695557,-0.688881,1
0.15074,-0.462989,1
0.233426,-0.512972,1
0.444996,-0.0996458,1
0.93304,0.23031,1
0.140393,0.331754,1
0.490876,0.0604755,1
0.996511,-0.262384,1
0.955445,-0.216816,1
-0.309811,0.408193,1
0.332992,0.420118,1
0.469367,-0.265602,1
-0.582824,0.0588594,1
0.501535,0.101151,1
0.210541,-0.488738,1
0.189066,-0.491967,1
-0.532445,-0.0180819,1
-0.81149,0.531303,1
-0.0998841,-0.486237,1
0.230554,0.425182,1
0.796712,0.531628,1
0.680597,0.766797,1
-0.888792,-0.552248,1
-0.420169,0.840489,1
0.350521,0.411695,1
0.0299266,-0.473805,1
0.373692,-0.0673263,1
0.759871,-0.755548,1
0.398634,0.18343,1
-1.02514,0.23879,1
-0.898359,0.363584,1
0.455568,0.303739,1
0.480767,0.00522031,1
0.158916,0.449798,1
-0.522093,0.117362,1
-0.488805,-0.906706,1
-0.299795,-0.323299,1
1.01858,-0.244692,1
-0.573467,-0.837515,1
-0.247332,-0.519938,1
0.563034,-0.119129,1
0.424373,-0.297805,1
0.475916,-0.197914,1
-0.499714,0.0520846,1
-0.396185,-0.180313,1
0.425232,0.292169,1
0.940293,-0.258441,1
0.0152837,-0.9269,1
1.02325,0.050985,1
-0.274497,0.343732,1
0.97318,0.0830713,1
0.180392,-1.00199,1
-0.262008,-0.463877,1
-0.482347,-0.0925648,1
0.348941,-0.338124,1
-0.0273665,-0.520954,1
-0.160827,0.476805,1
0.471589,0.117053,1
-0.675889,-0.815815,1
-0.428151,-0.866473,1
0.688561,-0.811017,1
-0.159472,-0.52232,1
0.183339,0.537622,1
-0.969716,-0.624031,1
0.101777,-0.455933,1
-0.521323,0.126294,1
0.48772,0.0951377,1
1.02819,0.163121,1
-0.25835,-0.381271,1
0.315123,0.376609,1
-0.501221,0.00717299,1
-0.551442,-0.0614298,1
-0.042091,-0.519959,1
-0.4972,0.304675,1
-0.36166,-0.401303,1
-0.895458,0.459378,1
-0.983085,-0.15093,1
-0.419955,-0.303332,1
-0.370977,0.347921,1
0.567085,-0.0352475,1
-0.0297945,0.511854,1
-0.119507,-1.08199,1
-0.407489,0.31238,1
-0.454672,-0.138134,1
-0.986578,0.0944377,1
-0.94821,-0.198437,1
-0.401337,0.292535,1
0.34804,-0.435819,1
-0.374893,-0.288382,1
0.516644,0.910248,1
0.365605,-0.106447,1
-0.87643,-0.538941,1
0.233017,0.939139,1
0.586973,-0.722039,1
0.439563,0.898189,1
0.404881,0.239965,1
0.0747507,0.530025,1
0.221454,1.03014,1
-0.115913,-0.435468,1
0.850541,-0.510415,1
0.98055,-0.284549,1
-0.0175794,0.430531,1
0.50139,-0.0223049,1
0.43283,-0.409841,1
0.119151,0.936974,1
-0.81067,-0.721135,1
1.02699,0.163124,1
0.659138,0.72803,1
0.991794,-0.22726,1
0.596631,-0.0557815,1
-0.541644,0.15127,1
-0.239288,-0.356341,1
-0.0490131,1.02518,1
0.26873,-0.452016,1
-0.559006,-0.812421,1
0.746165,0.596622,1
0.321272,0.302865,1
-0.179912,-0.559275,1
0.811635,0.665439,1
-1.0707,0.00849703,1
-0.383887,0.981119,1
0.011697,0.949171,1
0.00027119,0.535388,1
-0.379434,1.0022,1
0.201022,0.358262,1
0.397506,-0.379176,1
0.41763,-0.170873,1
-0.862301,0.539738,1
0.368695,-0.30662,1
0.211493,-0.443086,1
-0.189346,0.429271,1
-0.0206094,-1.01349,1
0.216955,-0.544612,1
0.33836,0.380441,1
-0.957389,-0.153774,1
-0.204062,-0.989848,1
-0.560207,-0.0711683,1
0.63873,-0.813452,1
-0.438945,-0.367436,1
-0.137088,0.432173,1
-0.911243,0.433635,1
-0.190538,0.989101,1
0.0526551,0.40865,1
0.152125,-0.452595,1
0.886998,-0.348432,1
0.211268,1.10724,1
-0.539818,0.808602,1
0.2409,-1.04472,1
-0.154055,0.494804,1
-0.0788645,-1.03331,1
-0.536604,0.164022,1
-0.124383,-0.572451,1
0.478944,0.00113474,1
0.530875,0.0569247,1
-0.387453,0.37787,1
0.138797,1.0003,1
-0.395365,0.282473,1
-0.278579,0.980006,1
0.314584,0.366762,1
0.0369748,-0.5529,1
-0.150508,-0.476843,1
-0.442004,0.0643493,1
-0.0978884,1.01817,1
0.536556,0.0333068,1
-0.0198,-0.904932,1
0.953309,-0.256091,1
-0.174832,-0.37213,1
-0.724306,0.689886,1
-0.820021,-0.668624,1
0.250017,-0.392232,1
0.424219,0.215347,1
0.299485,0.984688,1
-0.9055,-0.277774,1
-1.00206,0.0188238,1
-0.665414,-0.11453,1
-0.219729,0.907566,1
0.410805,0.948792,1
-0.84342,-0.647882,1
-0.788664,0.678933,1
-0.0893944,-0.374957,1
0.177312,1.06856,1
-0.737055,0.513783,1
0.360694,0.86177,1
-0.395016,0.293363,1
-0.42026,0.281466,1
-0.00598524,0.483255,1
0.354361,0.417237,1
-0.409586,-0.970869,1
0.401336,-1.01466,1
-0.332852,-0.940544,1
-0.0689522,-0.490991,1
-0.38876,1.02046,1
0.726577,-0.665457,1
-0.80725,0.642116,1
0.925981,-0.411344,1
0.697952,-0.602964,1
0.943874,-0.151116,1
-0.981143,-0.298179,1
-0.828201,-0.552911,1
0.967349,-0.254904,1
0.428559,0.299269,1
-0.539532,0.0469427,1
-1.00378,-0.131141,1
