x,y,cluster
0.064928,0.149214,1
1.29497,-0.45713,1
0.0339999,0.937492,1
0.976778,0.0213213,1
-0.20067,0.99269,1
0.902968,0.317796,1
-0.912452,0.449495,1
0.0796257,0.195175,1
1.21766,-0.516995,1
1.85157,0.22669,1
0.547398,-0.402006,1
0.25094,-0.183989,1
-0.492665,0.772716,1
-0.581396,0.839977,1
0.659446,-0.431512,1
0.0203927,0.207818,1
-0.782631,0.704965,1
0.427773,-0.39053,1
0.9216,0.468651,1
0.00262033,0.310853,1
0.780925,0.537622,1
1.95006,0.176871,1
0.788038,-0.502774,1
-0.845081,0.513258,1
0.108531,-0.103379,1
-0.309013,0.928083,1
0.119563,0.0409281,1
-0.148969,0.891068,1
0.0659739,1.03781,1
0.098279,0.363334,1
0.705069,0.679724,1
0.283664,-0.296159,1
1.88398,0.181113,1
0.0755848,-0.0339428,1
0.895184,0.525337,1
0.400693,0.919311,1
1.70277,-0.223991,1
1.89482,0.152692,1
0.000254306,0.883906,1
-0.553562,0.843667,1
0.826631,-0.471825,1
0.331624,0.948133,1
1.02755,-0.444831,1
-0.90016,0.441065,1
-0.806621,0.569938,1
0.548111,-0.456141,1
-1.06423,0.1536,1
0.902371,0.450339,1
-1.03811,-0.0292715,1
-0.888261,0.22315,1
0.536907,-0.329303,1
0.919314,0.542167,1
0.932015,-0.455347,1
-0.623294,0.751144,1
1.96585,0.207823,1
0.372177,-0.40003,1
2.02992,0.425542,1
-0.766772,0.772464,1
1.89865,-0.0237901,1
0.977416,0.144602,1
-0.592154,0.879431,1
0.919399,0.406335,1
0.215739,-0.285526,1
0.680094,0.74248,1
0.579444,-0.336198,1
-0.838592,0.41908,1
0.450067,0.904648,1
1.93018,0.122971,1
1.49239,-0.332248,1
0.0430957,0.218563,1
1.65959,-0.33085,1
0.153625,0.290036,1
-0.21327,0.925261,1
1.91831,0.313521,1
1.10079,-0.526539,1
-0.570687,0.808354,1
0.0202908,0.465625,1
-0.666345,0.69067,1
-0.0455132,0.360725,1
1.9139,0.205805,1
1.08838,-0.51435,1
-0.975701,0.268259,1
0.973946,0.213412,1
0.108827,0.96294,1
2.0216,0.483147,1
-0.559228,0.725216,1
1.30156,-0.51146,1
-0.152348,1.00092,1
0.919254,-0.497428,1
-0.0912662,0.987325,1
0.117204,1.02199,1
1.33556,-0.494865,1
0.0856101,1.00456,1
0.896237,0.521362,1
0.447231,0.897067,1
0.513017,-0.441209,1
0.433648,-0.262511,1
0.0475936,0.946283,1
1.17078,-0.522639,1
1.04591,0.213651,1
-0.107116,1.01379,1
1.91734,0.127528,1
-0.710085,0.661864,1
1.90315,0.0146677,1
0.893717,0.407783,1
1.67331,-0.207865,1
1.99821,0.245543,1
0.970673,0.329256,1
1.14724,-0.516412,1
-0.641035,0.73802,1
0.339099,-0.205543,1
0.740602,0.739949,1
-0.595159,0.831145,1
0.383932,-0.328965,1
0.731398,0.728818,1
0.0735716,0.263734,1
-0.097025,0.921736,1
-0.986028,0.330076,1
1.81027,-0.0767881,1
1.84198,-0.0680436,1
1.9475,0.4043,1
0.964964,0.087555,1
0.0190064,-0.096119,1
0.00477894,0.368407,1
-0.969697,0.0830493,1
-1.02374,0.0544173,1
0.455908,-0.391448,1
0.151031,0.0579636,1
2.00482,0.228638,1
0.823579,-0.524958,1
0.00827113,0.467271,1
1.8345,-0.0590502,1
1.82234,-0.0724736,1
0.961193,-0.526439,1
0.311389,0.9852,1
1.63355,-0.263678,1
0.0380385,0.0754605,1
0.914236,0.273636,1
0.924785,0.4309,1
-0.32158,0.940226,1
0.582218,0.847491,1
0.173892,0.0433798,1
1.74109,-0.183172,1
1.88488,0.435064,1
-0.878131,0.32348,1
-0.0309757,0.256054,1
0.0668584,0.982454,1
0.217989,0.969528,1
0.0428862,0.329356,1
1.98118,0.509372,1
0.176642,-0.0999409,1
0.796142,-0.526792,1
-0.383814,0.799374,1
1.40462,-0.512628,1
-0.958661,0.0389474,1
-0.479083,0.871356,1
1.49673,-0.347937,1
2.07485,0.383116,1
1.96088,0.19598,1
1.99483,0.302408,1
0.866347,-0.561062,1
1.2732,-0.449885,1
0.0851954,0.159563,1
-0.980044,0.269308,1
-0.778654,0.753347,1
1.03084,-0.0197088,1
0.702951,-0.433268,1
0.975309,0.045485,1
-0.735808,0.633793,1
1.49036,-0.387115,1
1.04028,-0.571361,1
1.92657,0.132068,1
1.69196,-0.251936,1
0.266987,-0.277676,1
-0.0119917,0.40843,1
-0.425994,0.843647,1
-0.463331,0.870077,1
-0.887638,0.344955,1
1.59211,-0.420818,1
0.266067,-0.0580902,1
-0.472108,0.91403,1
1.74593,-0.0493506,1
0.880152,-0.461275,1
-0.00635905,0.469597,1
1.03491,0.0965406,1
1.49374,-0.292067,1
0.14386,0.00216871,1
0.988135,-0.505337,1
0.98308,-0.527309,1
1.67147,-0.235389,1
0.619143,-0.434326,1
1.37722,-0.469478,1
0.227643,0.963432,1
-0.0456036,0.95616,1
1.30952,-0.413003,1
0.719646,-0.399626,1
2.06778,0.468881,1
0.354171,-0.2293,1
-0.732109,0.645186,1
0.676646,-0.43721,1
1.12767,-0.546559,1
0.0195731,1.07766,1
-0.0827614,1.01149,1
0.616727,-0.475373,1
1.94902,0.0159326,1
1.34956,-0.416675,1
0.851761,0.549101,1
1.8724,0.396851,1
-0.275712,0.929422,1
0.776713,0.58478,1
-0.914924,0.515917,1
0.906227,0.531792,1
0.0570555,0.121954,1
0.224757,-0.10719,1
0.743012,0.671205,1
1.61187,-0.19248,1
-0.963518,0.284029,1
-0.969594,0.134426,1
0.344566,-0.303311,1
0.0013902,0.477695,1
2.02635,0.0482184,1
0.80106,0.632075,1
-0.442634,0.887643,1
1.04085,0.067951,1
0.885506,0.399589,1
-0.989253,0.0315528,1
2.09683,0.448388,1
0.787438,-0.486186,1
1.51312,-0.292161,1
0.681557,0.746944,1
1.89579,-0.0256374,1
-0.411912,0.881765,1
0.891721,0.315481,1
0.160852,-0.0837143,1
1.5622,-0.37611,1
0.987765,0.363467,1
-0.0813214,1.0252,1
0.55168,0.887366,1
0.747606,0.674185,1
0.261827,-0.158647,1
0.525428,0.871102,1
0.12029,-0.108995,1
1.96018,0.100885,1
1.92821,0.331654,1
0.260313,0.985338,1
1.92369,0.177937,1
1.85874,-0.0403962,1
0.547323,-0.370378,1
-0.735603,0.68989,1
1.87952,-0.162765,1
0.172501,-8.75961e-05,1
-0.0250401,0.961395,1
-0.702249,0.75591,1
1.04536,-0.447818,1
-0.871662,0.415644,1
1.29902,-0.440191,1
0.138692,-0.268119,1
0.211404,0.954538,1
0.623325,0.769706,1
0.230137,-0.243887,1
1.79162,-0.0403438,1
-1.01387,0.238804,1
0.743886,0.750482,1
0.519336,0.936456,1
-0.729954,0.567613,1
0.487406,-0.299775,1
-0.59996,0.709393,1
0.719829,-0.514892,1
1.62198,-0.415605,1
-0.0209504,0.484369,1
0.0335081,0.473154,1
0.513865,-0.411944,1
0.754629,0.66715,1
0.758843,-0.442612,1
0.621759,0.843782,1
0.0161165,0.162863,1
1.74063,-0.244621,1
1.59531,-0.31618,1
0.988544,-0.500358,1
0.627327,0.736744,1
0.0441597,0.391094,1
-0.563797,0.834388,1
-0.987655,0.199364,1
1.57747,-0.291205,1
0.367525,0.920475,1
-0.442422,0.935506,1
1.83189,0.0748827,1
0.0367948,0.179452,1
0.854271,0.632958,1
-0.0771153,0.977832,1
0.0120631,0.985212,1
0.920351,-0.518448,1
0.61411,0.705129,1
0.839638,0.580483,1
-0.390995,0.916802,1
0.316894,0.97117,1
1.66197,-0.269389,1
0.759856,0.724404,1
0.384834,0.942849,1
0.816489,0.494551,1
0.752943,-0.434131,1
0.721424,-0.448401,1
0.262676,-0.213933,1
0.167104,0.0612814,1
-0.622831,0.785342,1
-0.718666,0.52146,1
-0.69371,0.816604,1
1.6227,-0.157791,1
0.563563,0.949157,1
-0.96899,0.333047,1
0.299759,0.942194,1
-0.986814,0.140287,1
-0.976539,0.42614,1
-1.04652,0.0329046,1
-0.277834,1.08621,1
-0.278072,0.951295,1
-0.979819,0.176254,1
0.0731235,0.19596,1
0.962565,-0.453055,1
-0.0981173,1.02402,1
0.970176,0.248703,1
0.873473,0.476047,1
0.654741,-0.390949,1
0.954524,0.341641,1
0.197671,0.960859,1
0.934757,0.221623,1
-0.937953,0.457286,1
1.97557,0.191152,1
1.87445,-0.0060413,1
1.00448,0.22286,1
1.77371,-0.192551,1
0.407543,0.919048,1
0.199885,0.910536,1
1.12824,-0.467313,1
0.613558,0.931293,1
-0.68525,0.653753,1
0.598033,0.779708,1
0.682935,0.813121,1
-0.792187,0.574842,1
-0.602395,0.777805,1
0.768908,0.473211,1
-0.450843,0.841939,1
-0.985312,0.307498,1
0.517871,-0.407921,1
0.784139,0.581329,1
-0.900274,0.292796,1
0.693516,0.786496,1
0.910179,-0.525488,1
1.89427,-0.0694759,1
-0.0354846,0.467581,1
-0.586505,0.892159,1
0.932852,0.611326,1
0.574945,-0.411989,1
0.0285329,0.298827,1
0.0576459,0.107069,1
0.370157,-0.212905,1
0.0665228,0.0688448,1
-0.869962,0.338476,1
0.831919,-0.427278,1
0.551451,0.809052,1
0.122247,0.956668,1
-0.843443,0.548618,1
-0.880775,0.503106,1
0.712603,0.59688,1
0.165975,0.00529123,1
1.66496,-0.249564,1
0.0935891,1.05177,1
1.14005,-0.491086,1
-0.734866,0.575156,1
0.86888,0.47295,1
0.359735,0.880447,1
-0.0940963,1.02046,1
0.37464,-0.222839,1
-1.04069,0.0618988,1
-1.07153,0.126723,1
-1.05103,0.451179,1
1.98458,0.440972,1
-0.00277316,0.500608,1
0.953999,0.412115,1
2.08851,0.53195,1
1.40625,-0.433214,1
-0.792412,0.59503,1
0.905639,0.178544,1
0.969712,0.343922,1
-0.961381,0.373612,1
-1.06245,0.0213924,1
0.065988,0.196542,1
1.71529,-0.131999,1
0.410556,0.831309,1
-0.99192,0.18536,1
