x,y,cluster
-6.1112,1.47153,-1
-7.49665,0.913425,-1
-10.8449,-7.55352,-1
-4.54338,-2.13569,-1
-1.91382,-0.0347804,-1
1.77134,0.634508,1
-9.75157,-5.20303,-1
-11.5102,-4.16284,-1
-7.72676,-5.86657,-1
2.30766,1.90193,-1
3.35938,0.0903521,-1
1.50827,0.12757,1
-8.55545,-5.03537,-1
2.04931,0.812645,1
-8.81719,-4.57926,8
0.538681,-3.67883,-1
2.38706,1.13918,-1
1.53395,-0.16597,2
-8.89315,-5.3275,-1
-7.03529,-4.6349,-1
-9.291,-6.11002,3
2.07914,0.181553,1
-8.99294,-4.79927,-1
-2.54926,-0.260671,-1
-8.14569,-7.00119,4
-5.61621,0.450063,-1
2.54238,-0.213811,-1
-3.23414,-0.853312,-1
1.82026,-0.0982296,2
-8.82011,-6.84539,-1
-6.3786,-2.49357,-1
-9.46444,-6.54066,5
-6.50561,-1.60029,-1
2.75743,0.837287,-1
2.03662,0.313134,1
2.26247,0.731058,1
1.75586,-0.282572,2
-4.89906,0.334087,-1
1.70176,0.454577,1
-9.02269,-4.3657,-1
-10.8136,-5.04953,-1
-8.1478,-4.87882,-1
-6.58482,-3.02855,-1
-7.20948,-1.01634,-1
2.14985,1.18102,1
-8.09422,-5.77493,-1
1.40424,0.700065,1
-10.4309,-6.23408,-1
-6.20821,-2.74073,-1
-4.0542,-5.38521,-1
-1.47302,-1.93958,-1
-4.1213,1.40813,-1
-8.4059,-4.79557,-1
-9.95665,-6.05212,-1
-5.09283,4.40224,-1
1.72512,0.29752,1
-8.53616,-5.62584,-1
-5.92451,3.18031,-1
-3.45951,-2.54184,-1
-8.38898,-2.04718,-1
-3.00412,-1.354,-1
-10.0765,-5.39992,6
0.479428,4.47372,-1
2.65203,0.488114,-1
-1.65057,0.786929,-1
-4.29835,0.230572,-1
-8.9811,-5.74666,7
2.27463,0.912578,1
-6.8618,-1.49546,-1
-1.17087,2.2446,-1
-4.66707,-1.279,-1
-7.21895,-0.939766,-1
-4.98746,0.676333,-1
2.09748,-0.036656,1
-8.42458,-5.32265,-1
-1.01796,1.56644,-1
-2.06942,1.88578,-1
1.2987,1.31066,-1
2.31497,0.831856,1
-4.28692,0.248057,-1
-8.8032,-5.58625,-1
-9.37828,-3.66508,-1
-4.78489,-3.59275,-1
1.57476,0.798044,1
-8.73137,-4.58697,8
1.8019,0.299098,1
2.48699,0.62552,1
-9.45018,-5.92528,-1
-9.34512,-3.51892,-1
-9.4585,-4.5222,-1
2.43605,-0.727539,-1
-9.28944,2.78272,-1
1.9911,0.441218,1
2.10144,1.25717,1
-7.48438,0.192746,-1
-8.8611,1.1408,-1
2.36331,0.44665,1
-1.646,1.4325,-1
-3.21545,-1.01197,-1
-9.93761,-3.8681,-1
1.94268,0.634284,1
-6.86709,-5.76683,-1
-10.0908,-5.46953,6
-3.46774,1.29274,-1
-9.8086,-6.94303,-1
1.32822,0.226601,1
-1.64608,5.91196,-1
1.824,0.208331,1
