x,y,cluster
-6.1112,1.47153,1
-7.49665,0.913425,1
-10.8449,-7.55352,-1
-4.54338,-2.13569,1
-1.91382,-0.0347804,1
1.77134,0.634508,2
-9.75157,-5.20303,3
-11.5102,-4.16284,3
-7.72676,-5.86657,3
2.30766,1.90193,2
3.35938,0.0903521,2
1.50827,0.12757,2
-8.55545,-5.03537,3
2.04931,0.812645,2
-8.81719,-4.57926,3
0.538681,-3.67883,-1
2.38706,1.13918,2
1.53395,-0.16597,2
-8.89315,-5.3275,3
-7.03529,-4.6349,3
-9.291,-6.11002,3
2.07914,0.181553,2
-8.99294,-4.79927,3
-2.54926,-0.260671,1
-8.14569,-7.00119,3
-5.61621,0.450063,1
2.54238,-0.213811,2
-3.23414,-0.853312,1
1.82026,-0.0982296,2
-8.82011,-6.84539,3
-6.3786,-2.49357,1
-9.46444,-6.54066,3
-6.50561,-1.60029,1
2.75743,0.837287,2
2.03662,0.313134,2
2.26247,0.731058,2
1.75586,-0.282572,2
-4.89906,0.334087,1
1.70176,0.454577,2
-9.02269,-4.3657,3
-10.8136,-5.04953,3
-8.1478,-4.87882,3
-6.58482,-3.02855,1
-7.20948,-1.01634,1
2.14985,1.18102,2
-8.09422,-5.77493,3
1.40424,0.700065,2
-10.4309,-6.23408,3
-6.20821,-2.74073,1
-4.0542,-5.38521,-1
-1.47302,-1.93958,1
-4.1213,1.40813,1
-8.4059,-4.79557,3
-9.95665,-6.05212,3
-5.09283,4.40224,4
1.72512,0.29752,2
-8.53616,-5.62584,3
-5.92451,3.18031,4
-3.45951,-2.54184,1
-8.38898,-2.04718,1
-3.00412,-1.354,1
-10.0765,-5.39992,3
0.479428,4.47372,-1
2.65203,0.488114,2
-1.65057,0.786929,1
-4.29835,0.230572,1
-8.9811,-5.74666,3
2.27463,0.912578,2
-6.8618,-1.49546,1
-1.17087,2.2446,1
-4.66707,-1.279,1
-7.21895,-0.939766,1
-4.98746,0.676333,1
2.09748,-0.036656,2
-8.42458,-5.32265,3
-1.01796,1.56644,6
-2.06942,1.88578,-1
1.2987,1.31066,2
2.31497,0.831856,2
-4.28692,0.248057,1
-8.8032,-5.58625,3
-9.37828,-3.66508,3
-4.78489,-3.59275,1
1.57476,0.798044,2
-8.73137,-4.58697,3
1.8019,0.299098,2
2.48699,0.62552,2
-9.45018,-5.92528,3
-9.34512,-3.51892,3
-9.4585,-4.5222,3
2.43605,-0.727539,2
-9.28944,2.78272,-1
1.9911,0.441218,2
2.10144,1.25717,2
-7.48438,0.192746,1
-8.8611,1.1408,1
2.36331,0.44665,2
-1.646,1.4325,1
-3.21545,-1.01197,1
-9.93761,-3.8681,3
1.94268,0.634284,2
-6.86709,-5.76683,3
-10.0908,-5.46953,3
-3.46774,1.29274,1
-9.8086,-6.94303,3
1.32822,0.226601,2
-1.64608,5.91196,-1
1.824,0.208331,2
-8.90198,-6.45154,3
-5.12382,-2.32297,1
1.37859,0.573282,2
-10.5561,-5.97841,3
-8.97184,-6.04212,3
